Calculation1,Campus,City,County/State/ Territory,Fall Term,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,Domestic Unknown,5
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,All,15
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,All,17
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,White,10
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,White,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,All,17
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,All,19
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,White,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,White,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,All,15
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,All,15
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1999,enr,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1999,adm,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1999,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,adm,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,app,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,enr,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,adm,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1998,app,FORT BRAGG HIGH SCHOOL,All,11
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,enr,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,adm,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,app,FORT BRAGG HIGH SCHOOL,White,10
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,enr,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,adm,FORT BRAGG HIGH SCHOOL,All,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1997,app,FORT BRAGG HIGH SCHOOL,All,14
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,enr,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,adm,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,app,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,enr,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,adm,FORT BRAGG HIGH SCHOOL,All,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1996,app,FORT BRAGG HIGH SCHOOL,All,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,adm,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,app,FORT BRAGG HIGH SCHOOL,White,10
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,enr,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,adm,FORT BRAGG HIGH SCHOOL,All,10
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1995,app,FORT BRAGG HIGH SCHOOL,All,13
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,adm,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,app,FORT BRAGG HIGH SCHOOL,White,9
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,enr,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,adm,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,1994,app,FORT BRAGG HIGH SCHOOL,All,11
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,11
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2015,enr,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2015,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Berkeley,Fort Bragg,Mendocino,2015,app,FORT BRAGG HIGH SCHOOL,All,10
